branch_addr,branch_type,taken,target
0x1ddd97fb,conditional_jump,0,0x1ddd97e6
0x1ddd9808,conditional_jump,0,0x1ddd9832
0x1ddd9812,direct_jump,1,0x1ddd9827
0x1ddd982a,conditional_jump,1,0x1ddd9814
0x1ddd981e,direct_call,1,0x1f00e6a0
0x1f00e6bc,direct_call,1,0x1f1c2740
0x1f1c27d1,return,1,0x1f00e6c1
0x1f00e6ca,conditional_jump,0,0x1f00e6d3
0x1f00e6ed,conditional_jump,1,0x1f00e7d4
0x1f00e7db,direct_jump,1,0x1f00e77c
0x1f00e782,conditional_jump,0,0x200deb6f
0x1f00e7a9,conditional_jump,1,0x1f00e7cc
0x1f00e7d2,direct_jump,1,0x1f00e7ab
0x1f00e7af,direct_call,1,0x1e82e600
0x1e82e726,return,1,0x1f00e7b4
0x1f00e7cb,return,1,0x1ddd9823
0x1ddd982a,conditional_jump,0,0x1ddd9814
0x1ddd9830,direct_jump,1,0x1ddd9805
0x1ddd9808,conditional_jump,1,0x1ddd9832
0x1ddd9839,conditional_jump,0,0x20525181
0x1ddd9846,conditional_jump,0,0x20525192
0x1ddd9853,conditional_jump,1,0x1ddd97b2
0x1ddd97e0,conditional_jump,0,0x1ddd97f4
0x1ddd97e2,conditional_jump,0,0x1ddd97ea
0x1ddd97e4,conditional_jump,0,0x1ddd97fd
0x1ddd97f0,conditional_jump,1,0x1ddd97d9
0x1f00e6ed,conditional_jump,0,0x1f00e7d4
0x1f00e710,conditional_jump,0,0x200deb84
0x1f00e723,direct_call,1,0x1e2cc4e0
0x1e2cc4e4,conditional_jump,0,0x1e2cc5d6
0x1e2cc4ee,conditional_jump,0,0x1e2cc5aa
0x1e2cc4fb,conditional_jump,0,0x1e2cc77d
0x1e2cc51a,conditional_jump,1,0x1e2cc573
0x1e2cc57e,conditional_jump,0,0x1e2cc595
0x1e2cc594,return,1,0x1f00e728
0x1f00e72a,conditional_jump,0,0x1f00e75f
0x1f00e72c,conditional_jump,0,0x1f00e765
0x1f00e737,direct_call,1,0x1e2cc4e0
0x1e2cc594,return,1,0x1f00e73c
0x1f00e73e,conditional_jump,0,0x1f00e772
0x1f00e740,conditional_jump,0,0x1f00e778
0x1f00e74d,conditional_jump,1,0x1f00e77c
0x1f00e7a9,conditional_jump,0,0x1f00e7cc
0x1f00e74d,conditional_jump,0,0x1f00e77c
0x1f00e75d,direct_jump,1,0x1f00e6ff
0x1f00e72c,conditional_jump,1,0x1f00e765
0x1f00e76e,conditional_jump,0,0x1f00e74f
0x1f00e770,direct_jump,1,0x1f00e7d8
0x1e82e615,conditional_jump,0,0x1e82e726
0x1e82e625,conditional_jump,0,0x1e82e656
0x1e82e62a,conditional_jump,1,0x1e82e6df
0x1e82e6e2,conditional_jump,1,0x1e82e727
0x1e82e731,conditional_jump,0,0x1e82e773
0x1e82e73e,conditional_jump,0,0x1e82e744
0x1e82e753,direct_jump,1,0x1e82e6e7
0x1e82e6fd,conditional_jump,1,0x1e82e703
0x1f00e76e,conditional_jump,1,0x1f00e74f
0x1e2cc57e,conditional_jump,1,0x1e2cc595
0x1e2cc5a2,conditional_jump,1,0x1e2cc580
0x1e82e625,conditional_jump,1,0x1e82e656
0x1e82e65d,conditional_jump,0,0x1e82e665
